berry,cata_variable,checked,penalty_lift,count
blackberry,appearance_fresh,0,4.7018018018018015,518
blackberry,appearance_fresh,1,5.799153872398499,977
blackberry,appearance_goodcolor,0,4.628005822416303,458
blackberry,appearance_goodcolor,1,5.768254580520733,1037
blackberry,appearance_goodquality,0,4.692767295597484,636
blackberry,appearance_goodquality,1,5.956585176561894,859
blackberry,appearance_goodshapre,0,4.933107344632768,708
blackberry,appearance_goodshapre,1,5.855993223210504,787
blackberry,appearance_misshapen,0,5.630508905852417,1048
blackberry,appearance_misshapen,1,4.92289336316182,447
blackberry,appearance_none,0,5.42450742240216,1482
blackberry,appearance_none,1,4.783589743589744,13
blackberry,appearance_notfresh,0,5.572797270955165,1368
blackberry,appearance_notfresh,1,3.7615748031496063,127
blackberry,appearance_unevencolor,0,5.527757757757758,1332
blackberry,appearance_unevencolor,1,4.529652351738242,163
blackberry,appearane_bruised,0,5.528418901660281,1305
blackberry,appearane_bruised,1,4.666947368421052,190
blackberry,taste_berry,0,4.212706552706552,702
blackberry,taste_berry,1,6.486742328709542,793
blackberry,taste_cinnamon,0,5.409519890260631,1458
blackberry,taste_cinnamon,1,5.78990990990991,37
blackberry,taste_clove,0,5.414883499762245,1402
blackberry,taste_clove,1,5.48,93
blackberry,taste_earthy,0,5.528722627737226,1096
blackberry,taste_earthy,1,5.117360066833751,399
blackberry,taste_fermented,0,5.719191919191919,1221
blackberry,taste_fermented,1,4.080924574209246,274
blackberry,taste_floral,0,5.263683507083668,1247
blackberry,taste_floral,1,6.199569892473118,248
blackberry,taste_fruity,0,4.7965752961082915,985
blackberry,taste_fruity,1,6.6209411764705886,510
blackberry,taste_grape,0,5.476942992282798,1339
blackberry,taste_grape,1,4.921025641025641,156
blackberry,taste_grassy,0,5.551780976573525,1181
blackberry,taste_grassy,1,4.91927813163482,314
blackberry,taste_lemon,0,5.526370370370371,1260
blackberry,taste_lemon,1,4.842893617021277,235
blackberry,taste_minty,0,5.420064545873674,1446
blackberry,taste_minty,1,5.385578231292517,49
blackberry,taste_none,0,5.567769784172662,1390
blackberry,taste_none,1,3.4486349206349205,105
